Gene	KO_ID
TOBG-MED-633_3277	K09001
TOBG-MED-633_3278	NA
TOBG-MED-633_3279	K01689
TOBG-MED-633_328	K02946
TOBG-MED-633_3281	K07120
TOBG-MED-633_3282	K11927
TOBG-MED-633_3283	NA
TOBG-MED-633_3286	NA
TOBG-MED-633_329	K02358
TOBG-MED-633_3290	K03284
TOBG-MED-633_3291	NA
TOBG-MED-633_3292	NA
TOBG-MED-633_3297	K07497
TOBG-MED-633_3298	NA
TOBG-MED-633_3299	K07497
TOBG-MED-633_33	K07221
TOBG-MED-633_3305	K03568
TOBG-MED-633_3306	K02275
TOBG-MED-633_3307	K02257
TOBG-MED-633_3309	K02258
TOBG-MED-633_3310	K02276
TOBG-MED-633_3312	K01733
TOBG-MED-633_3313	NA
TOBG-MED-633_3314	K03790
TOBG-MED-633_3315	NA
TOBG-MED-633_3316	K13583
TOBG-MED-633_3317	K00821
TOBG-MED-633_3318	K00611
TOBG-MED-633_3319	K00077
TOBG-MED-633_3320	K03306
TOBG-MED-633_3322	K00033
TOBG-MED-633_3324	K06918
TOBG-MED-633_3325	NA
TOBG-MED-633_3326	K08990
TOBG-MED-633_3327	K01870
TOBG-MED-633_3329	K01004
TOBG-MED-633_333	NA
TOBG-MED-633_3332	K09796
TOBG-MED-633_3334	NA
TOBG-MED-633_3335	NA
TOBG-MED-633_3336	K02518
TOBG-MED-633_3337	K06287
TOBG-MED-633_3338	NA
TOBG-MED-633_334	K00382
TOBG-MED-633_3341	K17247
TOBG-MED-633_3342	K19267
TOBG-MED-633_3343	K06893
TOBG-MED-633_3344	K09956
TOBG-MED-633_3346	NA
TOBG-MED-633_3347	K00121
TOBG-MED-633_3348	K13795
TOBG-MED-633_3349	K13796
TOBG-MED-633_335	NA
TOBG-MED-633_3350	NA
TOBG-MED-633_3351	K07120
TOBG-MED-633_3352	NA
TOBG-MED-633_3354	NA
TOBG-MED-633_3355	NA
TOBG-MED-633_3356	K11472
TOBG-MED-633_3357	K00104
TOBG-MED-633_3358	NA
TOBG-MED-633_3359	NA
TOBG-MED-633_336	K09811
TOBG-MED-633_3361	K09710
TOBG-MED-633_3362	NA
TOBG-MED-633_3363	K01703
TOBG-MED-633_3365	NA
TOBG-MED-633_3366	NA
TOBG-MED-633_3368	NA
TOBG-MED-633_3369	K03760
TOBG-MED-633_337	NA
TOBG-MED-633_3371	NA
TOBG-MED-633_3372	NA
TOBG-MED-633_3373	NA
TOBG-MED-633_3374	K02013
TOBG-MED-633_3375	K23228
TOBG-MED-633_3376	K23227
TOBG-MED-633_3377	K02014
TOBG-MED-633_3378	K07506
TOBG-MED-633_3379	K02302
TOBG-MED-633_338	NA
TOBG-MED-633_3380	NA
TOBG-MED-633_3381	K00372
TOBG-MED-633_3383	K00362
TOBG-MED-633_3384	K15578
TOBG-MED-633_3385	K15577
TOBG-MED-633_3386	K15576
TOBG-MED-633_3387	NA
TOBG-MED-633_3388	K07183
TOBG-MED-633_3389	NA
TOBG-MED-633_339	NA
TOBG-MED-633_3390	NA
TOBG-MED-633_3391	NA
TOBG-MED-633_3392	NA
TOBG-MED-633_3393	NA
TOBG-MED-633_3394	K00015
TOBG-MED-633_3395	K00681
TOBG-MED-633_3396	K00102
TOBG-MED-633_3397	K00315
TOBG-MED-633_3398	K07454
TOBG-MED-633_34	NA
TOBG-MED-633_340	K01586
TOBG-MED-633_3400	NA
TOBG-MED-633_3401	K19746
TOBG-MED-633_3402	K00799
TOBG-MED-633_3403	NA
TOBG-MED-633_3404	NA
TOBG-MED-633_3405	K02058
TOBG-MED-633_3406	K02057
TOBG-MED-633_3407	K02057
TOBG-MED-633_3409	K02056
TOBG-MED-633_341	NA
TOBG-MED-633_3411	K13482
TOBG-MED-633_3412	K13481
TOBG-MED-633_3413	K02337
TOBG-MED-633_3415	K01892
TOBG-MED-633_3416	NA
TOBG-MED-633_3417	K00765
TOBG-MED-633_3419	K00525
TOBG-MED-633_3422	K06145
TOBG-MED-633_3424	NA
TOBG-MED-633_3426	NA
TOBG-MED-633_3428	NA
TOBG-MED-633_3429	K09760
TOBG-MED-633_343	K01755
TOBG-MED-633_3431	K03325
TOBG-MED-633_3433	K11811
TOBG-MED-633_3435	K06970
TOBG-MED-633_3436	NA
TOBG-MED-633_3437	NA
TOBG-MED-633_3438	K10112
TOBG-MED-633_3439	NA
TOBG-MED-633_3440	NA
TOBG-MED-633_3441	K02025
TOBG-MED-633_3442	NA
TOBG-MED-633_3443	K07407
TOBG-MED-633_3444	K22216
TOBG-MED-633_3445	K22215
TOBG-MED-633_3446	K00883
TOBG-MED-633_3448	NA
TOBG-MED-633_3449	K12308
TOBG-MED-633_345	NA
TOBG-MED-633_3450	K02073
TOBG-MED-633_3451	K02072
TOBG-MED-633_3452	K02071
TOBG-MED-633_3453	NA
TOBG-MED-633_346	NA
TOBG-MED-633_347	NA
TOBG-MED-633_348	K01625
TOBG-MED-633_349	K01690
TOBG-MED-633_350	K18676
TOBG-MED-633_351	K01443
TOBG-MED-633_352	NA
TOBG-MED-633_354	NA
TOBG-MED-633_355	K03833
TOBG-MED-633_356	K01042
TOBG-MED-633_357	NA
TOBG-MED-633_359	NA
TOBG-MED-633_36	NA
TOBG-MED-633_360	K03702
TOBG-MED-633_365	NA
TOBG-MED-633_366	NA
TOBG-MED-633_367	NA
TOBG-MED-633_368	K04566
TOBG-MED-633_370	K07259
TOBG-MED-633_371	NA
TOBG-MED-633_373	K03310
TOBG-MED-633_375	K06020
TOBG-MED-633_376	NA
TOBG-MED-633_378	NA
TOBG-MED-633_379	K02051
TOBG-MED-633_380	K02050
TOBG-MED-633_381	K02050
TOBG-MED-633_382	K02049
TOBG-MED-633_383	NA
TOBG-MED-633_385	K06016
TOBG-MED-633_387	K17723
TOBG-MED-633_388	K17722
TOBG-MED-633_39	K11177
TOBG-MED-633_390	K10804
TOBG-MED-633_391	NA
TOBG-MED-633_392	NA
TOBG-MED-633_393	NA
TOBG-MED-633_394	K00281
TOBG-MED-633_395	K02437
TOBG-MED-633_398	NA
TOBG-MED-633_399	K01885
TOBG-MED-633_4	NA
TOBG-MED-633_400	NA
TOBG-MED-633_401	NA
TOBG-MED-633_402	K06876
TOBG-MED-633_403	NA
TOBG-MED-633_404	K01649
TOBG-MED-633_405	NA
TOBG-MED-633_406	NA
TOBG-MED-633_407	K03569
TOBG-MED-633_408	K03570
TOBG-MED-633_409	K03571
TOBG-MED-633_410	K05515
TOBG-MED-633_411	K05837
TOBG-MED-633_413	K01284
TOBG-MED-633_414	NA
TOBG-MED-633_415	K06162
TOBG-MED-633_416	K05774
TOBG-MED-633_418	K05781
TOBG-MED-633_42	K07488
TOBG-MED-633_420	K06164
TOBG-MED-633_421	K06165
TOBG-MED-633_422	K06166
TOBG-MED-633_423	K02043
TOBG-MED-633_424	NA
TOBG-MED-633_425	K02042
TOBG-MED-633_426	K02042
TOBG-MED-633_427	K02044
TOBG-MED-633_428	K02041
TOBG-MED-633_430	K13038
TOBG-MED-633_431	K03089
TOBG-MED-633_432	NA
TOBG-MED-633_433	K07391
TOBG-MED-633_434	K14731
TOBG-MED-633_435	K01920
TOBG-MED-633_436	K07460
TOBG-MED-633_437	K07056
TOBG-MED-633_438	NA
TOBG-MED-633_439	K00990
TOBG-MED-633_440	K03980
TOBG-MED-633_442	K01867
TOBG-MED-633_443	NA
TOBG-MED-633_444	NA
TOBG-MED-633_445	K06203
TOBG-MED-633_446	NA
TOBG-MED-633_447	K05606
TOBG-MED-633_448	NA
TOBG-MED-633_449	NA
TOBG-MED-633_451	K01876
TOBG-MED-633_452	K01581
TOBG-MED-633_453	NA
TOBG-MED-633_454	K09987
TOBG-MED-633_455	K01166
TOBG-MED-633_457	NA
TOBG-MED-633_458	K05962
TOBG-MED-633_46	NA
TOBG-MED-633_460	NA
TOBG-MED-633_461	K18587
TOBG-MED-633_462	K02970
TOBG-MED-633_463	NA
TOBG-MED-633_464	K03719
TOBG-MED-633_465	K00259
TOBG-MED-633_468	K01890
TOBG-MED-633_469	K03932
TOBG-MED-633_47	NA
TOBG-MED-633_470	NA
TOBG-MED-633_471	K01889
TOBG-MED-633_472	NA
TOBG-MED-633_473	K02887
TOBG-MED-633_476	K00873
TOBG-MED-633_477	K09948
TOBG-MED-633_478	K00824
TOBG-MED-633_479	K19802
TOBG-MED-633_480	NA
TOBG-MED-633_481	K08691
TOBG-MED-633_482	NA
TOBG-MED-633_483	K01962
TOBG-MED-633_485	K07043
TOBG-MED-633_487	NA
TOBG-MED-633_488	K16137
TOBG-MED-633_489	NA
TOBG-MED-633_49	NA
TOBG-MED-633_491	NA
TOBG-MED-633_492	NA
TOBG-MED-633_493	NA
TOBG-MED-633_494	NA
TOBG-MED-633_495	K03190
TOBG-MED-633_496	K01430
TOBG-MED-633_499	K01428
TOBG-MED-633_5	NA
TOBG-MED-633_500	K03187
TOBG-MED-633_501	K03188
TOBG-MED-633_503	NA
TOBG-MED-633_504	NA
TOBG-MED-633_505	K05592
TOBG-MED-633_506	K03851
TOBG-MED-633_508	K08309
TOBG-MED-633_51	NA
TOBG-MED-633_510	K15461
TOBG-MED-633_511	NA
TOBG-MED-633_512	K04062
TOBG-MED-633_513	K10778
TOBG-MED-633_515	NA
TOBG-MED-633_516	NA
TOBG-MED-633_517	K01433
TOBG-MED-633_519	K00219
TOBG-MED-633_52	K20034
TOBG-MED-633_520	K16074
TOBG-MED-633_522	NA
TOBG-MED-633_523	NA
TOBG-MED-633_524	NA
TOBG-MED-633_527	K01265
TOBG-MED-633_528	K17103
TOBG-MED-633_529	K01613
TOBG-MED-633_53	K00108
TOBG-MED-633_530	K08316
TOBG-MED-633_531	K00529
TOBG-MED-633_532	NA
TOBG-MED-633_533	K01724
TOBG-MED-633_534	K09919
TOBG-MED-633_535	K01126
TOBG-MED-633_537	K04754
TOBG-MED-633_538	NA
TOBG-MED-633_539	K07283
TOBG-MED-633_540	K05366
TOBG-MED-633_541	K04751
TOBG-MED-633_542	K03320
TOBG-MED-633_543	NA
TOBG-MED-633_544	K01011
TOBG-MED-633_546	NA
TOBG-MED-633_547	NA
TOBG-MED-633_549	NA
TOBG-MED-633_55	K01997
TOBG-MED-633_551	NA
TOBG-MED-633_552	K08688
TOBG-MED-633_553	K01432
TOBG-MED-633_554	K00135
TOBG-MED-633_555	K05825
TOBG-MED-633_556	K04080
TOBG-MED-633_557	K04775
TOBG-MED-633_558	K11473
TOBG-MED-633_559	NA
TOBG-MED-633_56	K01999
TOBG-MED-633_560	NA
TOBG-MED-633_562	NA
TOBG-MED-633_564	NA
TOBG-MED-633_567	NA
TOBG-MED-633_573	K01534
TOBG-MED-633_580	NA
TOBG-MED-633_581	NA
TOBG-MED-633_587	K03547
TOBG-MED-633_588	NA
TOBG-MED-633_589	NA
TOBG-MED-633_59	K02002
TOBG-MED-633_590	K15727
TOBG-MED-633_593	K03673
TOBG-MED-633_594	K03611
TOBG-MED-633_595	K07152
TOBG-MED-633_597	K09771
TOBG-MED-633_598	NA
TOBG-MED-633_599	NA
TOBG-MED-633_6	NA
TOBG-MED-633_600	K16264
TOBG-MED-633_601	NA
TOBG-MED-633_602	NA
TOBG-MED-633_603	NA
TOBG-MED-633_604	NA
TOBG-MED-633_606	NA
TOBG-MED-633_608	NA
TOBG-MED-633_609	NA
TOBG-MED-633_61	K02000
TOBG-MED-633_611	K01869
TOBG-MED-633_612	K03643
TOBG-MED-633_613	K02340
TOBG-MED-633_615	NA
TOBG-MED-633_617	NA
TOBG-MED-633_618	NA
TOBG-MED-633_619	NA
TOBG-MED-633_62	NA
TOBG-MED-633_620	K03592
TOBG-MED-633_621	NA
TOBG-MED-633_623	K02527
TOBG-MED-633_624	K00912
TOBG-MED-633_625	NA
TOBG-MED-633_626	NA
TOBG-MED-633_627	NA
TOBG-MED-633_628	K03575
TOBG-MED-633_629	K00496
TOBG-MED-633_630	K13581
TOBG-MED-633_631	K03470
TOBG-MED-633_632	NA
TOBG-MED-633_633	NA
TOBG-MED-633_635	K06145
TOBG-MED-633_636	NA
TOBG-MED-633_637	NA
TOBG-MED-633_638	NA
TOBG-MED-633_639	K00874
TOBG-MED-633_640	K02510
TOBG-MED-633_641	NA
TOBG-MED-633_644	K01673
TOBG-MED-633_645	NA
TOBG-MED-633_646	K01255
TOBG-MED-633_647	NA
TOBG-MED-633_648	NA
TOBG-MED-633_650	K01912
TOBG-MED-633_651	K18301
TOBG-MED-633_652	K07088
TOBG-MED-633_653	K01070
TOBG-MED-633_654	K09768
TOBG-MED-633_656	NA
TOBG-MED-633_657	NA
TOBG-MED-633_658	NA
TOBG-MED-633_659	K06916
TOBG-MED-633_66	NA
TOBG-MED-633_660	NA
TOBG-MED-633_661	K11754
TOBG-MED-633_662	NA
TOBG-MED-633_663	K07052
TOBG-MED-633_664	NA
TOBG-MED-633_665	K01687
TOBG-MED-633_666	NA
TOBG-MED-633_667	NA
TOBG-MED-633_669	K03499
TOBG-MED-633_67	NA
TOBG-MED-633_670	K03498
TOBG-MED-633_671	K03797
TOBG-MED-633_672	NA
TOBG-MED-633_673	K15633
TOBG-MED-633_676	K02335
TOBG-MED-633_677	K01816
TOBG-MED-633_678	K09986
TOBG-MED-633_679	K03924
TOBG-MED-633_680	NA
TOBG-MED-633_681	NA
TOBG-MED-633_682	NA
TOBG-MED-633_683	K05962
TOBG-MED-633_684	K09861
TOBG-MED-633_685	K03654
TOBG-MED-633_686	K02221
TOBG-MED-633_687	NA
TOBG-MED-633_688	K06902
TOBG-MED-633_689	K07261
TOBG-MED-633_690	NA
TOBG-MED-633_691	K09125
TOBG-MED-633_693	NA
TOBG-MED-633_694	K00763
TOBG-MED-633_695	K05595
TOBG-MED-633_696	K08281
TOBG-MED-633_697	K07146
TOBG-MED-633_698	K00012
TOBG-MED-633_699	K09471
TOBG-MED-633_7	K22552
TOBG-MED-633_70	NA
TOBG-MED-633_700	K11074
TOBG-MED-633_701	K11075
TOBG-MED-633_702	K11076
TOBG-MED-633_703	K11073
TOBG-MED-633_704	NA
TOBG-MED-633_705	NA
TOBG-MED-633_707	NA
TOBG-MED-633_708	NA
TOBG-MED-633_71	NA
TOBG-MED-633_710	NA
TOBG-MED-633_711	NA
TOBG-MED-633_712	K02035
TOBG-MED-633_714	K07001
TOBG-MED-633_715	NA
TOBG-MED-633_716	K16329
TOBG-MED-633_717	NA
TOBG-MED-633_718	NA
TOBG-MED-633_719	NA
TOBG-MED-633_720	NA
TOBG-MED-633_722	K02259
TOBG-MED-633_723	K01299
TOBG-MED-633_724	NA
TOBG-MED-633_725	K02469
TOBG-MED-633_726	NA
TOBG-MED-633_727	NA
TOBG-MED-633_728	K00036
TOBG-MED-633_729	K01057
TOBG-MED-633_730	K01810
TOBG-MED-633_731	NA
TOBG-MED-633_732	K07107
TOBG-MED-633_733	K20034
TOBG-MED-633_734	K09457
TOBG-MED-633_736	K01737
TOBG-MED-633_737	K06920
TOBG-MED-633_738	NA
TOBG-MED-633_74	K01912
TOBG-MED-633_740	NA
TOBG-MED-633_741	NA
TOBG-MED-633_742	NA
TOBG-MED-633_743	NA
TOBG-MED-633_744	NA
TOBG-MED-633_745	NA
TOBG-MED-633_746	NA
TOBG-MED-633_747	NA
TOBG-MED-633_75	K02614
TOBG-MED-633_76	NA
TOBG-MED-633_765	NA
TOBG-MED-633_766	NA
TOBG-MED-633_770	NA
TOBG-MED-633_771	NA
TOBG-MED-633_774	K01555
TOBG-MED-633_775	K02035
TOBG-MED-633_776	NA
TOBG-MED-633_777	NA
TOBG-MED-633_778	NA
TOBG-MED-633_779	K01599
TOBG-MED-633_78	K01255
TOBG-MED-633_780	K01749
TOBG-MED-633_782	K00228
TOBG-MED-633_783	K00076
TOBG-MED-633_784	K00564
TOBG-MED-633_785	K06891
TOBG-MED-633_786	NA
TOBG-MED-633_787	K07258
TOBG-MED-633_788	K13896
TOBG-MED-633_789	K13895
TOBG-MED-633_79	NA
TOBG-MED-633_790	K13894
TOBG-MED-633_791	NA
TOBG-MED-633_793	K04518
TOBG-MED-633_794	NA
TOBG-MED-633_795	K03426
TOBG-MED-633_796	K07054
TOBG-MED-633_797	NA
TOBG-MED-633_8	K07233
TOBG-MED-633_80	K01673
TOBG-MED-633_800	K06187
TOBG-MED-633_801	NA
TOBG-MED-633_804	NA
TOBG-MED-633_805	NA
TOBG-MED-633_806	K01711
TOBG-MED-633_807	K02377
TOBG-MED-633_808	K16011
TOBG-MED-633_809	K03523
TOBG-MED-633_81	NA
TOBG-MED-633_810	K02232
TOBG-MED-633_812	K02234
TOBG-MED-633_813	K02230
TOBG-MED-633_814	K02229
TOBG-MED-633_815	K06042
TOBG-MED-633_818	K05895
TOBG-MED-633_819	K00595
TOBG-MED-633_820	K02189
TOBG-MED-633_821	K05936
TOBG-MED-633_822	K02224
TOBG-MED-633_823	K02303
TOBG-MED-633_825	K02228
TOBG-MED-633_826	K19591
TOBG-MED-633_827	K17686
TOBG-MED-633_828	NA
TOBG-MED-633_829	K20444
TOBG-MED-633_830	NA
TOBG-MED-633_831	NA
TOBG-MED-633_832	K00831
TOBG-MED-633_833	K00058
TOBG-MED-633_834	K00060
TOBG-MED-633_836	NA
TOBG-MED-633_837	K03688
TOBG-MED-633_838	K03183
TOBG-MED-633_839	K10563
TOBG-MED-633_840	K01692
TOBG-MED-633_842	K02313
TOBG-MED-633_843	K02338
TOBG-MED-633_844	K03629
TOBG-MED-633_845	NA
TOBG-MED-633_846	K02470
TOBG-MED-633_850	K03205
TOBG-MED-633_851	NA
TOBG-MED-633_852	NA
TOBG-MED-633_853	NA
TOBG-MED-633_854	NA
TOBG-MED-633_855	NA
TOBG-MED-633_856	NA
TOBG-MED-633_857	NA
TOBG-MED-633_86	K02415
TOBG-MED-633_860	K03566
TOBG-MED-633_861	NA
TOBG-MED-633_862	NA
TOBG-MED-633_863	NA
TOBG-MED-633_864	K06145
TOBG-MED-633_865	K09927
TOBG-MED-633_866	NA
TOBG-MED-633_867	NA
TOBG-MED-633_869	NA
TOBG-MED-633_870	NA
TOBG-MED-633_873	K01778
TOBG-MED-633_874	K18707
TOBG-MED-633_876	K00413
TOBG-MED-633_877	K00412
TOBG-MED-633_879	NA
TOBG-MED-633_880	K07734
TOBG-MED-633_881	K00794
TOBG-MED-633_882	K01662
TOBG-MED-633_883	NA
TOBG-MED-633_885	NA
TOBG-MED-633_886	NA
TOBG-MED-633_887	K00826
TOBG-MED-633_888	NA
TOBG-MED-633_889	K15270
TOBG-MED-633_891	K02064
TOBG-MED-633_892	K02063
TOBG-MED-633_894	NA
TOBG-MED-633_895	NA
TOBG-MED-633_896	NA
TOBG-MED-633_897	K01486
TOBG-MED-633_898	K01241
TOBG-MED-633_9	NA
TOBG-MED-633_90	K02401
TOBG-MED-633_900	NA
TOBG-MED-633_901	NA
TOBG-MED-633_902	K07304
TOBG-MED-633_903	NA
TOBG-MED-633_904	K18979
TOBG-MED-633_905	K00799
TOBG-MED-633_906	K03814
TOBG-MED-633_907	NA
TOBG-MED-633_908	NA
TOBG-MED-633_909	K00266
TOBG-MED-633_910	K06153
TOBG-MED-633_911	K00356
TOBG-MED-633_914	NA
TOBG-MED-633_917	K15726
TOBG-MED-633_918	NA
TOBG-MED-633_919	NA
TOBG-MED-633_92	K02400
TOBG-MED-633_920	NA
TOBG-MED-633_921	K07486
TOBG-MED-633_922	NA
TOBG-MED-633_923	K07483
TOBG-MED-633_925	K07484
TOBG-MED-633_926	K07497
TOBG-MED-633_928	K18904
TOBG-MED-633_929	NA
TOBG-MED-633_930	K01534
TOBG-MED-633_931	NA
TOBG-MED-633_932	NA
TOBG-MED-633_933	NA
TOBG-MED-633_934	NA
TOBG-MED-633_935	NA
TOBG-MED-633_936	NA
TOBG-MED-633_937	NA
TOBG-MED-633_939	K01721
TOBG-MED-633_94	K02420
TOBG-MED-633_940	NA
TOBG-MED-633_943	NA
TOBG-MED-633_944	K07077
TOBG-MED-633_945	NA
TOBG-MED-633_946	NA
TOBG-MED-633_947	K10679
TOBG-MED-633_948	NA
TOBG-MED-633_949	NA
TOBG-MED-633_950	NA
TOBG-MED-633_953	NA
TOBG-MED-633_954	NA
TOBG-MED-633_955	NA
TOBG-MED-633_957	K05373
TOBG-MED-633_958	K02014
TOBG-MED-633_959	NA
TOBG-MED-633_962	K04565
TOBG-MED-633_963	NA
TOBG-MED-633_964	K07507
TOBG-MED-633_965	NA
TOBG-MED-633_967	K06152
TOBG-MED-633_968	K06151
TOBG-MED-633_969	NA
TOBG-MED-633_970	NA
TOBG-MED-633_971	NA
TOBG-MED-633_972	K02275
TOBG-MED-633_973	K15408
TOBG-MED-633_975	NA
TOBG-MED-633_976	NA
TOBG-MED-633_978	NA
TOBG-MED-633_979	NA
TOBG-MED-633_980	NA
TOBG-MED-633_981	K03497
TOBG-MED-633_982	K03496
TOBG-MED-633_983	NA
TOBG-MED-633_984	NA
TOBG-MED-633_985	K19048
TOBG-MED-633_986	K02035
TOBG-MED-633_987	K02033
TOBG-MED-633_988	K02034
TOBG-MED-633_989	K02031
TOBG-MED-633_990	K01451
TOBG-MED-633_991	K01295
TOBG-MED-633_992	NA
TOBG-MED-633_994	NA
TOBG-MED-633_997	NA
TOBG-MED-633_998	NA
TOBG-MED-633_999	NA
TOBG-MED-635_100	NA
TOBG-MED-635_1001	NA
TOBG-MED-635_1007	NA
TOBG-MED-635_1014	K01787
TOBG-MED-635_1018	K01409
TOBG-MED-635_102	NA
TOBG-MED-635_1023	NA
TOBG-MED-635_1029	NA
TOBG-MED-635_1038	K03924
TOBG-MED-635_1047	K07091
TOBG-MED-635_1059	NA
TOBG-MED-635_106	NA
TOBG-MED-635_1068	NA
TOBG-MED-635_1084	NA
TOBG-MED-635_1088	NA
TOBG-MED-635_1100	NA
TOBG-MED-635_1107	NA
TOBG-MED-635_1122	NA
TOBG-MED-635_1133	NA
TOBG-MED-635_1134	NA
TOBG-MED-635_1135	NA
TOBG-MED-635_1136	K00281
TOBG-MED-635_1142	K01937
TOBG-MED-635_1150	K04744
TOBG-MED-635_1152	NA
TOBG-MED-635_1154	NA
TOBG-MED-635_1155	NA
TOBG-MED-635_1163	NA
TOBG-MED-635_1173	K05939
TOBG-MED-635_1177	K01890
TOBG-MED-635_118	NA
TOBG-MED-635_1180	NA
TOBG-MED-635_1188	K00537
TOBG-MED-635_1192	NA
TOBG-MED-635_12	NA
TOBG-MED-635_1202	NA
TOBG-MED-635_1204	K03723
TOBG-MED-635_1207	K00981
TOBG-MED-635_1209	NA
TOBG-MED-635_1211	NA
TOBG-MED-635_1214	NA
TOBG-MED-635_1219	NA
TOBG-MED-635_1222	NA
TOBG-MED-635_1224	NA
TOBG-MED-635_1233	NA
TOBG-MED-635_1234	NA
TOBG-MED-635_1256	NA
TOBG-MED-635_1263	NA
TOBG-MED-635_1270	NA
TOBG-MED-635_1277	NA
TOBG-MED-635_1283	NA
TOBG-MED-635_1288	NA
TOBG-MED-635_1301	NA
TOBG-MED-635_1308	K06936
TOBG-MED-635_1319	NA
TOBG-MED-635_1329	NA
TOBG-MED-635_133	K01130
TOBG-MED-635_1333	NA
TOBG-MED-635_1337	K01280
TOBG-MED-635_1341	NA
TOBG-MED-635_1347	NA
TOBG-MED-635_1351	K12573
TOBG-MED-635_1358	NA
TOBG-MED-635_1362	NA
TOBG-MED-635_1363	K00645
TOBG-MED-635_1367	NA
TOBG-MED-635_1373	K06330
TOBG-MED-635_1380	K03628
TOBG-MED-635_1382	NA
TOBG-MED-635_1385	K03561
TOBG-MED-635_1389	NA
TOBG-MED-635_1390	NA
TOBG-MED-635_1395	K00164
TOBG-MED-635_1398	K06142
TOBG-MED-635_1406	NA
TOBG-MED-635_1411	K15581
TOBG-MED-635_1418	NA
TOBG-MED-635_1419	NA
TOBG-MED-635_1421	NA
TOBG-MED-635_1427	NA
TOBG-MED-635_1439	K00865
TOBG-MED-635_144	K14170
TOBG-MED-635_1451	K03544
TOBG-MED-635_1458	K03307
TOBG-MED-635_1464	K00067
TOBG-MED-635_1466	NA
TOBG-MED-635_1477	K04066
TOBG-MED-635_1481	NA
TOBG-MED-635_1483	NA
TOBG-MED-635_1497	NA
TOBG-MED-635_1498	NA
TOBG-MED-635_1502	NA
TOBG-MED-635_1518	NA
TOBG-MED-635_1522	K01585
TOBG-MED-635_1537	K02994
TOBG-MED-635_155	NA
TOBG-MED-635_1561	NA
TOBG-MED-635_1572	K04021
TOBG-MED-635_1579	NA
TOBG-MED-635_1595	NA
TOBG-MED-635_1597	NA
TOBG-MED-635_1601	K07404
TOBG-MED-635_1603	NA
TOBG-MED-635_1606	NA
TOBG-MED-635_1610	K00018
TOBG-MED-635_1612	NA
TOBG-MED-635_1613	K14441
TOBG-MED-635_1635	NA
TOBG-MED-635_1638	NA
TOBG-MED-635_1641	NA
TOBG-MED-635_1658	NA
TOBG-MED-635_1659	NA
TOBG-MED-635_1664	K01869
TOBG-MED-635_1672	K02343
TOBG-MED-635_1676	NA
TOBG-MED-635_1685	NA
TOBG-MED-635_1686	NA
TOBG-MED-635_1687	K01843
TOBG-MED-635_1689	K00606
TOBG-MED-635_1691	NA
TOBG-MED-635_1694	NA
TOBG-MED-635_1695	K00163
TOBG-MED-635_1698	NA
TOBG-MED-635_1705	NA
TOBG-MED-635_1708	NA
TOBG-MED-635_171	K02011
TOBG-MED-635_1713	NA
TOBG-MED-635_1717	NA
TOBG-MED-635_1719	K01897
TOBG-MED-635_1720	K03684
TOBG-MED-635_1724	K00971
TOBG-MED-635_1738	NA
TOBG-MED-635_1742	NA
TOBG-MED-635_1743	NA
TOBG-MED-635_1754	K06158
TOBG-MED-635_1755	NA
TOBG-MED-635_1775	NA
TOBG-MED-635_178	NA
TOBG-MED-635_1786	K03424
TOBG-MED-635_1788	NA
TOBG-MED-635_179	NA
TOBG-MED-635_1797	K01686
TOBG-MED-635_1798	NA
TOBG-MED-635_1807	NA
TOBG-MED-635_1809	K07052
TOBG-MED-635_181	NA
TOBG-MED-635_1815	K01469
TOBG-MED-635_1819	K00943
TOBG-MED-635_1824	NA
TOBG-MED-635_1830	NA
TOBG-MED-635_1834	K10441
TOBG-MED-635_1835	K10439
TOBG-MED-635_1851	K01785
TOBG-MED-635_1859	K03046
TOBG-MED-635_1860	K03043
TOBG-MED-635_1864	NA
TOBG-MED-635_187	NA
TOBG-MED-635_1891	NA
TOBG-MED-635_1892	K00991
TOBG-MED-635_1904	NA
TOBG-MED-635_1911	NA
TOBG-MED-635_1913	K02453
TOBG-MED-635_1920	NA
TOBG-MED-635_1929	K01881
TOBG-MED-635_1943	NA
TOBG-MED-635_1953	NA
TOBG-MED-635_1955	K03307
TOBG-MED-635_1962	K02528
TOBG-MED-635_1963	K01823
TOBG-MED-635_1968	NA
TOBG-MED-635_1969	NA
TOBG-MED-635_197	K01627
TOBG-MED-635_1974	NA
TOBG-MED-635_1976	K16053
TOBG-MED-635_1984	NA
TOBG-MED-635_1989	K22969
TOBG-MED-635_199	NA
TOBG-MED-635_2005	NA
TOBG-MED-635_2007	K07735
TOBG-MED-635_2011	NA
TOBG-MED-635_2014	NA
TOBG-MED-635_2025	K01216
TOBG-MED-635_2032	K02004
TOBG-MED-635_2042	NA
TOBG-MED-635_2064	NA
TOBG-MED-635_2071	K00449
TOBG-MED-635_2073	NA
TOBG-MED-635_2079	K07568
TOBG-MED-635_2092	K02493
TOBG-MED-635_2096	K03086
TOBG-MED-635_2098	K03722
TOBG-MED-635_2102	NA
TOBG-MED-635_2107	K03701
TOBG-MED-635_2110	NA
TOBG-MED-635_2119	K00990
TOBG-MED-635_2122	NA
TOBG-MED-635_2124	K03466
TOBG-MED-635_2129	K07462
TOBG-MED-635_2131	K01286
TOBG-MED-635_2134	K15577
TOBG-MED-635_2135	NA
